place	rn	year of birth	gname-r	gname
Solihull	12.00	1540.00	Isabell	Isabella
Solihull	34.00	1541.00	Isabell	Isabella
Solihull	95.00	1545.00	Isabell	Isabella
Solihull	101.00	1546.00	Isabell	Isabella
Solihull	164.00	1550.00	Isabell	Isabella
Solihull	204.00	1551.00	Isabell	Isabella
Solihull	205.00	1551.00	Isabell	Isabella
Solihull	207.00	1551.00	Isabell	Isabella
Solihull	209.00	1551.00	Isabell	Isabella
Solihull	324.00	1564.00	Isabell	Isabella
Solihull	348.00	1566.00	Isabell	Isabella
Solihull	372.00	1568.00	Isabell	Isabella
Solihull	383.00	1569.00	Isabell	Isabella
Solihull	390.00	1569.00	Isabell	Isabella
Solihull	412.00	1571.00	isabell	Isabella
Solihull	437.00	1573.00	Isabell	Isabella
Solihull	444.00	1574.00	Isabell	Isabella
Solihull	445.00	1574.00	Isabell	Isabella
Solihull	461.00	1575.00	Isabell	Isabella
Solihull	463.00	1575.00	Isabell	Isabella
Solihull	466.00	1575.00	Isabell	Isabella
Solihull	485.00	1576.00	Isabell	Isabella
Solihull	489.00	1577.00	Isabell	Isabella
Solihull	553.00	1581.00	Isabell	Isabella
Solihull	606.00	1585.00	Isabell	Isabella
Solihull	682.00	1591.00	isabell	Isabella
Solihull	710.00	1594.00	isabell	Isabella
Solihull	715.00	1595.00	isabell	Isabella
Solihull	731.00	1596.00	isabell	Isabella
Solihull	751.00	1597.00	Isabell	Isabella
Solihull	760.00	1598.00	isabell	Isabella
Solihull	773.00	1598.00	isabell	Isabella
Solihull	827.00	1602.00	Isabell	Isabella
Solihull	851.00	1603.00	Isabell	Isabella
Stratford	49.00	1561.00	Isabella	Isabella
Stratford	87.00	1562.00	Isabella	Isabella
Stratford	133.00	1563.00	Isabella	Isabella
Stratford	253.00	1567.00	Isabella	Isabella
Stratford	268.00	1567.00	Isabella	Isabella
Stratford	357.00	1572.00	Isabella	Isabella
Stratford	394.00	1573.00	Isabella	Isabella
Stratford	444.00	1575.00	Isabella	Isabella
Stratford	452.00	1576.00	Isabella	Isabella
Stratford	473.00	1576.00	Isabella	Isabella
Stratford	524.00	1578.00	Isabella	Isabella
Stratford	525.00	1578.00	Isabella	Isabella
Stratford	542.00	1578.00	Isbell	Isabella
Stratford	554.00	1579.00	Isbell	Isabella
Stratford	591.00	1579.00	Isabella	Isabella
Stratford	603.00	1580.00	Isabella	Isabella
Stratford	647.00	1581.00	Isabella	Isabella
Stratford	700.00	1582.00	Isabella	Isabella
Stratford	732.00	1583.00	Isabella	Isabella
Stratford	756.00	1584.00	Isabella	Isabella
Stratford	766.00	1584.00	Isabella	Isabella
Stratford	794.00	1585.00	Isabella	Isabella
Stratford	800.00	1585.00	Isabella	Isabella
Stratford	810.00	1585.00	Isaell	Isabella
Stratford	845.00	1586.00	Isabella	Isabella
Stratford	858.00	1586.00	Isabella	Isabella
Stratford	866.00	1587.00	Isabella	Isabella
Stratford	870.00	1587.00	Isabella	Isabella
Stratford	900.00	1588.00	Isabella	Isabella
Stratford	921.00	1588.00	Isabella	Isabella
Stratford	943.00	1589.00	Isabella	Isabella
Stratford	981.00	1590.00	Isabella	Isabella
Stratford	996.00	1590.00	Isbell	Isabella
Stratford	1057.00	1592.00	Isabella	Isabella
Stratford	1079.00	1592.00	Isabaell	Isabella
Stratford	1241.00	1598.00	Isabella	Isabella
Stratford	1246.00	1598.00	Isabella	Isabella
Stratford	1290.00	1599.00	Isbella	Isabella
Stratford	1330.00	1601.00	Isabella	Isabella
Stratford	1346.00	1601.00	Isabella	Isabella
Stratford	1360.00	1602.00	Isabella	Isabella
Stratford	1371.00	1602.00	isabella	Isabella
Stratford	1398.00	1603.00	Isabella	Isabella
