place	rn	year of birth	gname-r	gname
Solihull	8.00	1539.00	Jane	Jane
Solihull	10.00	1540.00	Joice	Joyce
Solihull	21.00	1541.00	Joane	Joan
Solihull	24.00	1541.00	Julie	Julia
Solihull	35.00	1541.00	Joan	Joan
Solihull	37.00	1541.00	Joan	Joan
Solihull	40.00	1541.00	Joan	Joan
Solihull	50.00	1542.00	Jonae	Joan
Solihull	52.00	1542.00	Jane	Jane
Solihull	53.00	1542.00	Jane	Jane
Solihull	57.00	1543.00	Joane	Joan
Solihull	58.00	1543.00	Joan	Joan
Solihull	81.00	1544.00	Joane	Joan
Solihull	82.00	1544.00	Joane	Joan
Solihull	88.00	1545.00	Joane	Joan
Solihull	91.00	1545.00	Joane	Joan
Solihull	117.00	1547.00	Joice	Joyce
Solihull	118.00	1547.00	Joane	Joan
Solihull	122.00	1547.00	Joane	Joan
Solihull	123.00	1547.00	Joane	Joan
Solihull	130.00	1548.00	Joane	Joan
Solihull	134.00	1548.00	Joane	Joan
Solihull	135.00	1548.00	Joane	Joan
Solihull	137.00	1548.00	Joane	Joan
Solihull	140.00	1548.00	Joane	Joan
Solihull	141.00	1548.00	Joane	Joan
Solihull	143.00	1548.00	Joane	Joan
Solihull	144.00	1548.00	Joane	Joan
Solihull	149.00	1549.00	Joane	Joan
Solihull	157.00	1549.00	Joane	Joan
Solihull	162.00	1549.00	Joane	Joan
Solihull	166.00	1550.00	Jone	Joan
Solihull	168.00	1550.00	Joane	Joan
Solihull	169.00	1550.00	Joane	Joan
Solihull	170.00	1550.00	Jane	Jane
Solihull	173.00	1550.00	Joane	Joan
Solihull	176.00	1550.00	Joice	Joyce
Solihull	187.00	1551.00	Joyce	Joyce
Solihull	199.00	1551.00	Joane	Joan
Solihull	210.00	1551.00	Jone	Joan
Solihull	213.00	1552.00	Jone	Joan
Solihull	217.00	1552.00	Joane	Joan
Solihull	218.00	1552.00	Joane	Joan
Solihull	219.00	1552.00	Joane	Joan
Solihull	226.00	1553.00	Joane	Joan
Solihull	236.00	1553.00	Joane	Joan
Solihull	242.00	1553.00	Joane	Joan
Solihull	254.00	1555.00	Jone	Joan
Solihull	266.00	1558.00	Joane	Joan
Solihull	267.00	1559.00	Joane	Joan
Solihull	269.00	1559.00	Joane	Joan
Solihull	270.00	1559.00	Jane	Jane
Solihull	282.00	1560.00	Joane	Joan
Solihull	285.00	1560.00	Joane	Joan
Solihull	294.00	1561.00	Joane	Joan
Solihull	295.00	1561.00	Joane	Joan
Solihull	301.00	1561.00	Joane	Joan
Solihull	304.00	1561.00	jane	Jane
Solihull	307.00	1562.00	Joane	Joan
Solihull	310.00	1562.00	Joane	Joan
Solihull	316.00	1562.00	Joane	Joan
Solihull	320.00	1562.00	Joane	Joan
Solihull	322.00	1564.00	Joane	Joan
Solihull	323.00	1564.00	Joane	Joan
Solihull	325.00	1564.00	Joane	Joan
Solihull	326.00	1564.00	Joane	Joan
